,name,header,beds,bedrooms,date_range,price,rating
0,Saleh's Cottage Saleh Cottage,Cabin in Samha,Saleh's Cottage Saleh Cottage,"6 beds,  · 2 bedrooms",Nov 12 – 17,$266,
1,Cypress cottage,Hut in Tabab,Cypress cottage,"3 beds,  · 2 bedrooms",May 1 – 6,"$1,066",
2,Qishla,Apartment in Riyadh,Qishla,"2 beds,  · 2 bedrooms",Dec 15 – 20,$162,5.0 (3)
3,Exhibitor NeighborhoodThe Green (Self-entry),Chalet in Riyadh,Exhibitor NeighborhoodThe Green (Self-entry),Verified fast wifi,Nov 12 – 17,$205,4.86 (177)
4,Mabaat -  Al Narjis - 424,Apartment in Riyadh,Mabaat -  Al Narjis - 424,"3 beds,  · 2 bedrooms",Nov 12 – 17,$244,4.28 (40)
5,VIP Apartment Al Aqeeq District,Apartment in Riyadh,VIP Apartment Al Aqeeq District,"3 beds,  · 2 bedrooms",Nov 12 – 17,$155,New
6,"Riyadh Inn ""Meet your expectations""",Chalet in Riyadh,"Riyadh Inn ""Meet your expectations""","3 beds,  · 2 bedrooms",Nov 12 – 17,,4.5 (36)
7,Almajdieh Apt. 4 | Self Check-In,Apartment in Riyadh,Almajdieh Apt. 4 | Self Check-In,"2 beds,  · 2 bedrooms",Nov 24 – 29,$176,4.93 (67)
8,Amazon apartment 07,Apartment in Riyadh,Amazon apartment 07,"3 beds,  · 3 bedrooms",Nov 24 – 29,$298,New
9,Luxury Apartment 2 Rooms Lounge,Apartment in Riyadh,Luxury Apartment 2 Rooms Lounge,"3 beds,  · 2 bedrooms",Dec 1 – 6,$105,4.88 (33)
10,Cozy Townhouse in Al-Aqiq,Townhouse in Riyadh,Cozy Townhouse in Al-Aqiq,Dedicated workspace,Nov 21 – 26,$400,5.0 (3)
11,Stylish chalet with pool and outdoor BBQ by the beach,Tiny home in Makkah Province,Stylish chalet with pool and outdoor BBQ by the beach,Dedicated workspace,Nov 12 – 17,$182,4.85 (13)
12,Soul Island,Cabin in Taif,Soul Island,"3 beds,  · 2 bedrooms",Nov 13 – 18,$485,New
13,Luxury flat with modern furniture,Apartment in Riyadh,Luxury flat with modern furniture,"3 beds,  · 3 bedrooms",Nov 12 – 17,,4.88 (69)
14,Luxury Chalet 2 Bedrooms and  Chalet with pool,Chalet in Riyadh,Luxury Chalet 2 Bedrooms and  Chalet with pool,"2 beds,  · 2 bedrooms",Nov 12 – 17,$379,4.59 (22)
15,f9 cool apartment,Apartment in Jeddah,f9 cool apartment,"1 bed,  · 1 bedroom",Nov 29 – Dec 4,$57,4.9 (21)
16,Luxury two-story apartment with private pool (1),Apartment in Riyadh,Luxury two-story apartment with private pool (1),Dedicated workspace,Nov 20 – 25,,4.8 (5)
17,"Quiet apartment 2 rooms, lounge and independent kitchen Q",Apartment in Riyadh,"Quiet apartment 2 rooms, lounge and independent kitchen Q","3 beds,  · 2 bedrooms",Nov 24 – 29,$115,5.0 (5)
18,Chalet with children's pool and water games near the beach,Tiny home in Makkah Province,Chalet with children's pool and water games near the beach,Dedicated workspace,Nov 12 – 17,,5.0 (10)
19,F203 Nice APT in great location,Apartment in Jeddah,F203 Nice APT in great location,"3 beds,  · 2 bedrooms",Nov 12 – 17,$74,4.8 (25)
20,Sky Taawun | Sky Collaboration,Apartment in Riyadh,Sky Taawun | Sky Collaboration,"3 beds,  · 3 bedrooms",Nov 12 – 17,$227,4.93 (15)
21,Luxury Villa / Chalet for rent,Villa in Jeddah,Luxury Villa / Chalet for rent,"2 beds,  · 2 bedrooms",Nov 12 – 17,$136,4.64 (36)
22,"ARC-01: Spacious 2-BR aprt @MKH, 2min bus stop",Apartment in Mecca,"ARC-01: Spacious 2-BR aprt @MKH, 2min bus stop",Dedicated workspace,Nov 18 – 23,$77,4.33 (9)
23,Dar Haifa - Oasis 4BD Apartment + Terrace,Home in Al Ula,Dar Haifa - Oasis 4BD Apartment + Terrace,"4 beds,  · 4 bedrooms",Nov 26 – Dec 1,,4.81 (21)
24,Chalet Vera Quiet Pool and Pool Trees Privacy,Holiday park in Medina,Chalet Vera Quiet Pool and Pool Trees Privacy,"2 beds,  · 2 bedrooms",Nov 12 – 17,,4.93 (15)
25,Farm Heart Cabin,Cabin in At Taif,Farm Heart Cabin,Dedicated workspace,Nov 12 – 17,$240,4.67 (15)
26,Luxurious Apartment in Hittin,Condo in Riyadh,Luxurious Apartment in Hittin,Verified fast wifi,Nov 16 – 21,$408,5.0 (12)
27,C5 Luxury Hotel Apartment Ajlan Riviera Al Nada District,Apartment in Riyadh,C5 Luxury Hotel Apartment Ajlan Riviera Al Nada District,"4 beds,  · 3 bedrooms",Nov 12 – 17,,4.96 (26)
28,C7 Luxury Hotel Apartment with Jalan Riviera Neighborhood,Apartment in Riyadh,C7 Luxury Hotel Apartment with Jalan Riviera Neighborhood,"4 beds,  · 3 bedrooms",Nov 12 – 17,,5.0 (26)
29,The Spot Executive Living,Apartment in Riyadh,The Spot Executive Living,Dedicated workspace,Nov 20 – 25,$368,4.93 (14)
30,Two-Bedroom Chalet with Indoor Pool,Chalet in Abha,Two-Bedroom Chalet with Indoor Pool,"3 beds,  · 2 bedrooms",Nov 12 – 17,$155,4.69 (13)
31,Luxurious Apartment Sea View Sea View Luxury Apartment,Condo in Jeddah,Luxurious Apartment Sea View Sea View Luxury Apartment,Verified fast wifi,Nov 16 – 21,$203,4.94 (51)
32,Stylish Luxury 2 Bedroom Flat,Apartment in Riyadh,Stylish Luxury 2 Bedroom Flat,Dedicated workspace,Nov 22 – 27,$172,5.0 (13)
33,GR - Modern spacious apartment in Riyadh,Apartment in Riyadh,GR - Modern spacious apartment in Riyadh,"4 beds,  · 3 bedrooms",Nov 24 – 29,$236,4.73 (11)
34,"Cadee, Living in Style",Apartment in Riyadh,"Cadee, Living in Style","3 beds,  · 2 bedrooms",Nov 12 – 17,$270,4.63 (8)
35,B1 Luxury Hotel Apartment Aalok Riviera Al Nada,Apartment in Riyadh,B1 Luxury Hotel Apartment Aalok Riviera Al Nada,Verified fast wifi,Nov 22 – 27,$216,5.0 (19)
36,"Beach villa, obhur beside Cabin Coral",Home in Jeddah,"Beach villa, obhur beside Cabin Coral","3 beds,  · 3 bedrooms",Nov 12 – 17,$337,4.4 (5)
37,3Bedroom Apartment,Apartment in Riyadh,3Bedroom Apartment,"5 beds,  · 3 bedrooms",Nov 13 – 18,$320,5.0 (20)
38,Luxury Apartment #1,Apartment in Riyadh,Luxury Apartment #1,"3 beds,  · 3 bedrooms",Nov 12 – 17,$226,
39,Kage Apt with A Private Entrance - Apartment with private entrance,Condo in Riyadh,Kage Apt with A Private Entrance - Apartment with private entrance,Verified fast wifi,Nov 22 – 27,$192,4.64 (28)
40,Porto beach three rooms. Sea view.,Apartment in مدينة الملك عبدالله الاقتصادية,Porto beach three rooms. Sea view.,Dedicated workspace,Nov 12 – 17,$249,
41,Three bedrooms Apartment - Luxury Apartment 12 Smart Entry,Apartment in Riyadh,Three bedrooms Apartment - Luxury Apartment 12 Smart Entry,"4 beds,  · 3 bedrooms",Nov 25 – 30,$253,4.86 (7)
42,Elite Apartment,Apartment in Riyadh,Elite Apartment,"3 beds,  · 2 bedrooms",Nov 23 – 28,$240,5.0 (6)
43,"Hotel chalet with lounge view, indoor pool and cinema hall",Chalet in Taif,"Hotel chalet with lounge view, indoor pool and cinema hall","Dedicated workspace,  · EV charger",Nov 12 – 17,$123,4.33 (3)
44,3 Bedroom Apartment,Condo in Riyadh,3 Bedroom Apartment,Verified fast wifi,Nov 12 – 17,$249,5.0 (30)
45,Swiss cottage chalets and Aquapark,Chalet in Makkah,Swiss cottage chalets and Aquapark,Dedicated workspace,Nov 12 – 17,$125,
46,Villa with indoor pool,Villa in Abha,Villa with indoor pool,"5 beds,  · 3 bedrooms",Nov 12 – 17,$141,4.6 (5)
47,Apartment near Alharam,Apartment in Makkah,Apartment near Alharam,"4 beds,  · 2 bedrooms",Nov 12 – 17,$67,5.0 (5)
48,Chalet on a distinct mountain in Masr Village,Barn in Jeddah,Chalet on a distinct mountain in Masr Village,"2 beds,  · 2 bedrooms",Nov 12 – 17,$138,4.8 (10)
49,Villa,Barn in Riyadh,Villa,"5 beds,  · 5 bedrooms",Nov 12 – 17,$173,4.88 (8)
50,Chalets Loret .,Chalet in Riyadh,Chalets Loret .,"3 beds,  · 2 bedrooms",Nov 12 – 17,$138,5.0 (3)
51,"Historical place, Cozy Farm",Farm stay in Jalajil,"Historical place, Cozy Farm","6 beds,  · 2 bedrooms",Nov 12 – 17,$69,5.0 (8)
52,Comfortable farm stay,Farm stay in Al Atheeb,Comfortable farm stay,"7 beds,  · 4 bedrooms",Nov 22 – 27,$448,4.64 (25)
53,"Villa Alyasmin, 4 King BedRooms",Home in Riyadh,"Villa Alyasmin, 4 King BedRooms",Dedicated workspace,Nov 12 – 17,,5.0 (5)
54,Apartment with distinctive self-entry design,Apartment in Riyadh,Apartment with distinctive self-entry design,"1 bed,  · 1 bedroom",Nov 23 – 28,$77,4.78 (9)
55,Modern Apartment - Olaya - Olah,Apartment in Riyadh,Modern Apartment - Olaya - Olah,"4 beds,  · 2 bedrooms",Dec 3 – 8,$98,New
56,2 bedroom apartment and lounge with smart entry,Apartment in Riyadh,2 bedroom apartment and lounge with smart entry,"3 beds,  · 2 bedrooms",Nov 19 – 24,$112,New
57,Modern Apartment in AlYasmin,Apartment in Riyadh,Modern Apartment in AlYasmin,"3 beds,  · 2 bedrooms",Nov 24 – 29,$161,New
58,Apartment with lounge and 2 bedrooms with self-entry,Place to stay in Riyadh,Apartment with lounge and 2 bedrooms with self-entry,"2 beds,  · 2 bedrooms",Nov 24 – 29,$108,New
59,Bedroom apartment and modern lounge,Apartment in Riyadh,Bedroom apartment and modern lounge,"1 bed,  · 1 bedroom",Nov 22 – 27,$78,4.93 (14)
60,Classic Victorian apartment,Apartment in Riyadh,Classic Victorian apartment,"6 beds,  · 2 bedrooms",Dec 3 – 8,$53,4.8 (5)
61,Apartment 19/2 Bedrooms Living Lounge Self-entry Kitchen,Apartment in Riyadh,Apartment 19/2 Bedrooms Living Lounge Self-entry Kitchen,"3 beds,  · 2 bedrooms",Dec 2 – 7,$122,New
62,Two-room apartment and lounge with outdoor session,Apartment in Riyadh,Two-room apartment and lounge with outdoor session,"1 bed,  · 2 bedrooms",Nov 21 – 26,$120,4.6 (5)
63,B1Al Bawadi District Almadina Road,Apartment in Jeddah,B1Al Bawadi District Almadina Road,"3 beds,  · 2 bedrooms",Nov 12 – 17,$50,New
64,Chalet Central Riyadh Self-entry and pool view,Chalet in Riyadh,Chalet Central Riyadh Self-entry and pool view,Verified fast wifi,Nov 16 – 21,$400,4.83 (6)
65,Luxury two bedrooms apartment -self checkin G4,Apartment in Riyadh,Luxury two bedrooms apartment -self checkin G4,"1 bed,  · 2 bedrooms",Nov 21 – 26,$162,4.79 (38)
66,Nirvana jeddah L,Home in Jeddah,Nirvana jeddah L,"3 beds,  · 2 bedrooms",Dec 1 – 6,,New
67,Apartment No. 4 Modern in a distinctive residential neighborhood,Apartment in Riyadh,Apartment No. 4 Modern in a distinctive residential neighborhood,"3 beds,  · 2 bedrooms",Dec 4 – 9,$107,New
68,Jasmine Neighborhood Apartment in Assass Complex,Apartment in Riyadh,Jasmine Neighborhood Apartment in Assass Complex,"3 beds,  · 3 bedrooms",Nov 13 – 18,$168,New
69,Luxury & Cozy 3-bedrooms Apartment,Apartment in Riyadh,Luxury & Cozy 3-bedrooms Apartment,"3 beds,  · 3 bedrooms",Nov 24 – 29,$198,5.0 (7)
70,Fendi Home(1)Luxury Hotel Suite -Pool/Jacuzzi/Sauna/Cinema,Condo in Jeddah,Fendi Home(1)Luxury Hotel Suite -Pool/Jacuzzi/Sauna/Cinema,"2 beds,  · 2 bedrooms",Nov 18 – 23,$160,4.86 (22)
71,Apartment Neighborhood of Al-Munisi,Loft in Riyadh,Apartment Neighborhood of Al-Munisi,"3 beds,  · 2 bedrooms",Nov 12 – 17,,New
72,"Calm, normal, and charming",Barn in Shlal,"Calm, normal, and charming","3 beds,  · 2 bedrooms",Jan 2 – 7,$172,4.9 (21)
73,سكن قرطبة |10|  ‏Qurtubah Residence,Apartment in Riyadh,سكن قرطبة |10|  ‏Qurtubah Residence,"2 beds,  · 2 bedrooms",Nov 12 – 17,$179,4.89 (9)
74,Big Apartment Modern Design #20,Apartment in Riyadh,Big Apartment Modern Design #20,"3 beds,  · 2 bedrooms",Dec 1 – 6,$112,
75,Private suite 9,Apartment in Jeddah,Private suite 9,"3 beds,  · 2 bedrooms",Nov 24 – 29,,New
76,Beautifully designed modern apartment 2 rooms Large lounge self-entry,Apartment in Riyadh,Beautifully designed modern apartment 2 rooms Large lounge self-entry,"2 beds,  · 2 bedrooms",Nov 12 – 17,,New
77,Two-room apartment and lounge with smart entry.,Apartment in Riyadh,Two-room apartment and lounge with smart entry.,"1 bed,  · 2 bedrooms",Nov 20 – 25,$111,4.43 (7)
78,New furnished luxury apartment,Apartment in Makkah,New furnished luxury apartment,"1 bed,  · 2 bedrooms",Nov 12 – 17,$88,New
79,Very luxurious apartment with smart entry,Apartment in Riyadh,Very luxurious apartment with smart entry,"3 beds,  · 2 bedrooms",Nov 12 – 17,$160,New
80,Apartment in Al-Malqa neighborhood Self-entry,Apartment in Riyadh,Apartment in Al-Malqa neighborhood Self-entry,"2 beds,  · 2 bedrooms",Nov 25 – 30,,New
81,Marriott  Diplomatic Quarter,Apartment in Riyadh,Marriott  Diplomatic Quarter,"1 bed,  · 1 bedroom",Nov 12 – 17,,New
82,2 Bedroom Apartment & Lounge,Apartment in Riyadh,2 Bedroom Apartment & Lounge,"3 beds,  · 2 bedrooms",Nov 18 – 23,$88,New
83,Stylish and luxurious apartment A modern and luxurious apartment,Apartment in Riyadh,Stylish and luxurious apartment A modern and luxurious apartment,"4 beds,  · 3 bedrooms",Nov 24 – 29,,New
84,2 bedroom apartment and self entry lounge2,Apartment in Riyadh,2 bedroom apartment and self entry lounge2,"3 beds,  · 2 bedrooms",Nov 12 – 17,,5.0 (9)
85,Modern IKEA Style & Big Kitchen,Apartment in Riyadh,Modern IKEA Style & Big Kitchen,Dedicated workspace,Nov 24 – 29,$98,New
86,Luxury chalet in Sial Resort,Boat in Jeddah,Luxury chalet in Sial Resort,"3 beds,  · 2 bedrooms",Nov 12 – 17,,New
87,Luxury&cozy 2bedrooms Apartment,Apartment in Riyadh,Luxury&cozy 2bedrooms Apartment,"3 beds,  · 2 bedrooms",Nov 13 – 18,$109,New
88,Al Rayyan VIP Apartment,Apartment in Riyadh,Al Rayyan VIP Apartment,"2 beds,  · 2 bedrooms",Nov 12 – 17,,5.0 (24)
89,(18) - 2BDR Near King Fahd International Stadium,Apartment in Riyadh,(18) - 2BDR Near King Fahd International Stadium,Dedicated workspace,Nov 23 – 28,$67,
90,L O U N G E | 2 4  •  Rare find!,Apartment in Jeddah,L O U N G E | 2 4  •  Rare find!,Dedicated workspace,Nov 12 – 17,,4.86 (37)
91,Modern flat in Mecca near Al-Haram Apt.3,Apartment in Mecca,Modern flat in Mecca near Al-Haram Apt.3,"5 beds,  · 3 bedrooms",Nov 13 – 18,$106,4.5 (6)
92,Quiet apartment 2 bedrooms and living room,Apartment in Jeddah,Quiet apartment 2 bedrooms and living room,"3 beds,  · 2 bedrooms",Nov 12 – 17,$70,New
93,Lovely loft with private entrance and great outdoor session,Loft in Riyadh City,Lovely loft with private entrance and great outdoor session,"3 beds,  · 2 bedrooms",Nov 20 – 25,$130,4.85 (13)
94,Apartment on a farm,Barn in Al Atheeb,Apartment on a farm,"9 beds,  · 4 bedrooms",Nov 12 – 17,,New
95,Two-bed apartment with spacious space,Apartment in Riyadh,Two-bed apartment with spacious space,"2 beds,  · 2 bedrooms",Nov 18 – 23,,New
96,luxury Apartment with 3 bedrooms A,Apartment in Riyadh,luxury Apartment with 3 bedrooms A,Dedicated workspace,Nov 12 – 17,$277,
97,A clean and integrated chalet,Vacation home in Riyadh,A clean and integrated chalet,"3 beds,  · 2 bedrooms",Nov 12 – 17,$107,4.88 (8)
98,Luxury Apartment Furnishing vip North Riyadh,Apartment in Riyadh,Luxury Apartment Furnishing vip North Riyadh,"4 beds,  · 3 bedrooms",Nov 12 – 17,$187,New
99,Modern Apartment w/ 3 bedrooms with cinema room,Apartment in Riyadh,Modern Apartment w/ 3 bedrooms with cinema room,Verified fast wifi,Dec 14 – 20,$149,4.86 (7)
100,Luxury two-bedroom apartment,Apartment in Jeddah,Luxury two-bedroom apartment,"2 beds,  · 2 bedrooms",Nov 12 – 17,$91,New
101,Luxury apartment with 3 bedrooms C,Apartment in Riyadh,Luxury apartment with 3 bedrooms C,Dedicated workspace,Nov 12 – 17,$277,5.0 (5)
102,New new apartment with private entrance in Hamdaniya,Apartment in Jeddah,New new apartment with private entrance in Hamdaniya,Dedicated workspace,Nov 12 – 17,,4.5 (4)
103,Heritage hostel in Men's Village,Tiny home in Ragal Almaa,Heritage hostel in Men's Village,"8 beds,  · 2 bedrooms",Nov 12 – 17,$191,5.0 (14)
104,2 Bedroom Apartment and Al Hamra District Self Entry B6,Apartment in Riyadh,2 Bedroom Apartment and Al Hamra District Self Entry B6,"1 bed,  · 2 bedrooms",Nov 12 – 17,$115,New
105,3 Bedroom Lounge Apartment,Condo in Riyadh,3 Bedroom Lounge Apartment,"5 beds,  · 3 bedrooms",Nov 12 – 17,$147,5.0 (6)
106,(3) - 2BDR Near King Fahd International Stadium,Apartment in Riyadh,(3) - 2BDR Near King Fahd International Stadium,Dedicated workspace,Nov 26 – Dec 1,$69,4.0 (6)
107,Apartment in El Nargas,Condo in Riyadh,Apartment in El Nargas,"2 beds,  · 2 bedrooms",Nov 24 – 29,$131,5.0 (8)
108,KAFD Distract,Apartment in Riyadh,KAFD Distract,"2 beds,  · 2 bedrooms",Nov 12 – 17,,4.7 (10)
109,Elegant 3 Bedroom Apartment,Apartment in Riyadh,Elegant 3 Bedroom Apartment,"4 beds,  · 3 bedrooms",Nov 12 – 17,$173,5.0 (7)
110,A Local Experience in Our Little Oasis,Apartment in Riyadh,A Local Experience in Our Little Oasis,"2 beds,  · 2 bedrooms",Nov 13 – 18,$160,New
111,Chalet Belsan,Barn in Al Ula,Chalet Belsan,"5 beds,  · 2 bedrooms",Nov 23 – 28,$147,4.67 (3)
112,happy to serve you 2BHK,Apartment in Makkah,happy to serve you 2BHK,"3 beds,  · 2 bedrooms",Nov 12 – 17,,
113,Latina - Latina,Home in Al Madinah Al Munawwarah,Latina - Latina,Verified fast wifi,Nov 25 – 30,$120,
114,First new building to the right,Apartment in Riyadh,First new building to the right,"1 bed,  · 1 bedroom",Nov 13 – 18,,New
115,"Avellino Hotel Chalet
Avellino",Home in Buraydah,"Avellino Hotel Chalet
Avellino","2 beds,  · 1 bedroom",Nov 13 – 18,,New
116,Luxury apartment with private entrance and smart lock,Apartment in Riyadh,Luxury apartment with private entrance and smart lock,Verified fast wifi,Nov 25 – 30,$140,
117,Cozy apartment in Riyadh       شقه فارهة,Condo in Riyadh,Cozy apartment in Riyadh       شقه فارهة,"4 beds,  · 3 bedrooms",Nov 26 – Dec 1,$219,4.33 (3)
118,Amariya Valley,Barn in العمارية,Amariya Valley,"4 beds,  · 2 bedrooms",Nov 12 – 17,,New
119,Riyadh Benban Al Khair District North,Cabin in Riyadh,Riyadh Benban Al Khair District North,"20 beds,  · 2 bedrooms",Nov 13 – 18,$213,New
120,Entire rental unit Luxury Aptحي حطين,Apartment in Riyadh,Entire rental unit Luxury Aptحي حطين,"2 beds,  · 2 bedrooms",Nov 23 – 28,$137,
121,Velvet Nights (A2)Two bedrooms with private cinema,Condo in Jeddah,Velvet Nights (A2)Two bedrooms with private cinema,Dedicated workspace,Nov 12 – 17,$53,
122,Apartment with two bedrooms,Apartment in Makkah,Apartment with two bedrooms,"4 beds,  · 2 bedrooms",Nov 12 – 17,,New
123,Holiday apartment,Apartment in Makkah,Holiday apartment,"4 beds,  · 3 bedrooms",Nov 12 – 17,,New
124,Blue Eye Resort & Farm,Farm stay in Al-Disah,Blue Eye Resort & Farm,"4 beds,  · 2 bedrooms",Dec 2 – 7,$133,
125,AlNarjis Luxury Apartment,Apartment in Riyadh,AlNarjis Luxury Apartment,"2 beds,  · 2 bedrooms",Nov 12 – 17,$200,5.0 (3)
126,Furnished apartment with sea view in Khobar,Condo in Al Khobar,Furnished apartment with sea view in Khobar,"1 bed,  · 1 bedroom",Nov 13 – 18,$256,New
127,A home away from home… with three bedrooms,Apartment in Jeddah,A home away from home… with three bedrooms,Verified fast wifi,Nov 23 – 28,$74,4.8 (103)
128,New Luxury apartment,Condo in Jeddah,New Luxury apartment,"3 beds,  · 2 bedrooms",Nov 25 – 30,$55,4.78 (9)
129,2 Bedroom Chalet and Private Pool 7 Kilos from Mecca Sanctuary,Chalet in Mecca,2 Bedroom Chalet and Private Pool 7 Kilos from Mecca Sanctuary,"4 beds,  · 3 bedrooms",Nov 29 – Dec 4,$160,4.9 (21)
130,Private hotel chalet for families,Guesthouse in Riyadh,Private hotel chalet for families,"3 beds,  · 2 bedrooms",Nov 13 – 18,$229,4.67 (6)
131,Luxurious Apartment 10 Min Walk to Alharam!,Apartment in Makkah,Luxurious Apartment 10 Min Walk to Alharam!,"5 beds,  · 3 bedrooms",Dec 27 – Jan 1,$399,4.9 (41)
132,Resort for daily rent,Barn in Riyadh,Resort for daily rent,Dedicated workspace,Nov 15 – 20,,5.0 (4)
133,Dhahran Executive Duplex,Apartment in Dhahran,Dhahran Executive Duplex,"4 beds,  · 3 bedrooms",Nov 12 – 17,$267,
134,Your favorite restroom.,Guesthouse in Tabuk Province,Your favorite restroom.,"5 beds,  · 2 bedrooms",Nov 12 – 17,$160,New
135,"Chalet Lina
's Chalet",Chalet in Duba,"Chalet Lina
's Chalet","3 beds,  · 2 bedrooms",Nov 22 – 27,$273,4.5 (4)
136,Penthouse swimmingpool selflogin,Apartment in Riyadh,Penthouse swimmingpool selflogin,Verified fast wifi,Dec 16 – 21,$274,5.0 (20)
137,Executive Three by Parallel (Instant check-in),Chalet in Riyadh,Executive Three by Parallel (Instant check-in),"1 bed,  · 1 bedroom",Nov 16 – 21,$362,4.64 (11)
138,"Featured apartment with lounge, bedroom and self entry",Apartment in Riyadh,"Featured apartment with lounge, bedroom and self entry","1 bed,  · 1 bedroom",Nov 14 – 19,$100,4.94 (49)
139,Apartment for Rent 02 in Bay District (Self Entry),Home in Riyadh,Apartment for Rent 02 in Bay District (Self Entry),"3 beds,  · 2 bedrooms",Dec 1 – 6,$83,4.86 (14)
140,Cozy stay - Comfortable stay,Apartment in Riyadh,Cozy stay - Comfortable stay,Dedicated workspace,Nov 20 – 25,,4.95 (21)
141,"Modern Villa Private Entrance to Car, Outdoor Garden, and Private Pool",Villa in Riyadh,"Modern Villa Private Entrance to Car, Outdoor Garden, and Private Pool",4 bedrooms,Nov 30 – Dec 5,$383,4.74 (38)
142,Luxurious Condo in Ar Rabi | Self Check-in,Condo in Riyadh,Luxurious Condo in Ar Rabi | Self Check-in,"4 beds,  · 3 bedrooms",Nov 21 – 26,$256,4.94 (52)
143,Luxury Apartment 3 Bedroom Private Entrance,Apartment in Riyadh,Luxury Apartment 3 Bedroom Private Entrance,"4 beds,  · 3 bedrooms",Nov 20 – 25,$320,4.87 (23)
144,"Modern Villa Private Entrance to Car, Outdoor Garden, and Private Pool",Villa in Riyadh,"Modern Villa Private Entrance to Car, Outdoor Garden, and Private Pool",4 bedrooms,Nov 30 – Dec 5,$383,4.74 (38)
145,Luxurious Condo in Ar Rabi | Self Check-in,Condo in Riyadh,Luxurious Condo in Ar Rabi | Self Check-in,"4 beds,  · 3 bedrooms",Nov 21 – 26,$256,4.94 (52)
146,Luxury Apartment 3 Bedroom Private Entrance,Apartment in Riyadh,Luxury Apartment 3 Bedroom Private Entrance,"4 beds,  · 3 bedrooms",Nov 20 – 25,$320,4.87 (23)
147,SkyLight Home,Apartment in Riyadh,SkyLight Home,"3 beds,  · 2 bedrooms",Dec 2 – 7,$147,5.0 (6)
148,Fancy apartment,Apartment in Jeddah,Fancy apartment,"3 beds,  · 2 bedrooms",Nov 13 – 18,$91,4.86 (88)
149,Golden Jasmine |100| Golden Yasmin,Apartment in Riyadh,Golden Jasmine |100| Golden Yasmin,"2 beds,  · 2 bedrooms",Nov 25 – 30,$243,5.0 (7)
150,Vintage Charming Apartment,Apartment in Jeddah,Vintage Charming Apartment,"2 beds,  · 2 bedrooms",Nov 30 – Dec 5,$122,4.82 (11)
151,Modern apartment in prefect location,Apartment in الرياض,Modern apartment in prefect location,"2 beds,  · 2 bedrooms",Nov 12 – 17,$174,New
152,Luxury 3-bedrooms apt with outdoor seating area,Apartment in Riyadh,Luxury 3-bedrooms apt with outdoor seating area,"4 beds,  · 3 bedrooms",Dec 2 – 7,$235,5.0 (14)
153,WoodSea fascinating Apartment,Apartment in Jeddah,WoodSea fascinating Apartment,"3 beds,  · 1 bedroom",Nov 22 – 27,,5.0 (22)
154,5 | Luxury Apartment 3 Bedroom Apartment - Smart Entry,Apartment in Riyadh,5 | Luxury Apartment 3 Bedroom Apartment - Smart Entry,"4 beds,  · 3 bedrooms",Nov 25 – 30,$320,5.0 (19)
155,luxury apartments,Apartment in Jeddah,luxury apartments,"3 beds,  · 2 bedrooms",Nov 12 – 17,$85,4.87 (178)
156,high-end 2 bedroom apartment,Condo in Riyadh,high-end 2 bedroom apartment,Dedicated workspace,Nov 12 – 17,$240,4.85 (59)
157,Private Apartment 2 Bedrooms Lounge,Condo in Riyadh,Private Apartment 2 Bedrooms Lounge,"3 beds,  · 2 bedrooms",Nov 22 – 27,$91,5.0 (3)
158,"Artistic 2BDR Apt, Self Check-in",Apartment in Riyadh,"Artistic 2BDR Apt, Self Check-in","2 beds,  · 2 bedrooms",Nov 22 – 27,$104,4.48 (23)
159,Almughrizat Apartment Self Check in,Apartment in Riyadh,Almughrizat Apartment Self Check in,"1 bed,  · 1 bedroom",Nov 12 – 17,$75,5.0 (4)
160,Apartment in AlMughrizat with private outdoor area,Condo in Riyadh,Apartment in AlMughrizat with private outdoor area,Dedicated workspace,Nov 16 – 21,$247,5.0 (34)
161,Modern & Cozy Apartment - 2,Apartment in Riyadh,Modern & Cozy Apartment - 2,"4 beds,  · 3 bedrooms",Dec 4 – 9,$163,5.0 (6)
162,Apartment in Al-Falah neighborhood 2 rooms lounge,Apartment in Riyadh,Apartment in Al-Falah neighborhood 2 rooms lounge,"3 beds,  · 2 bedrooms",Nov 27 – Dec 2,$115,New
163,Almajdiah Residence Apt. | Self Check-in,Apartment in Riyadh,Almajdiah Residence Apt. | Self Check-in,"4 beds,  · 3 bedrooms",Jan 17 – 22,$247,4.89 (66)
164,Comfort & Convenience nr Hosp,Apartment in Riyadh,Comfort & Convenience nr Hosp,"3 beds,  · 2 bedrooms",Nov 30 – Dec 5,$93,4.56 (9)
165,New 2-Bedroom Apt in Al-Malqa,Apartment in Riyadh,New 2-Bedroom Apt in Al-Malqa,Verified fast wifi,Nov 19 – 24,$232,5.0 (9)
166,"T9, 2 bedrooms, Great Location شقة غرفتين هادئة",Apartment in Jeddah,"T9, 2 bedrooms, Great Location شقة غرفتين هادئة","2 beds,  · 2 bedrooms",Nov 22 – 27,,4.71 (86)
167,Luxury Apartment in Almalqa neighborhood,Apartment in Riyadh,Luxury Apartment in Almalqa neighborhood,"3 beds,  · 2 bedrooms",Nov 24 – 29,$128,5.0 (4)
168,Golden Jasmine |11| Golden Yasmin,Apartment in Riyadh,Golden Jasmine |11| Golden Yasmin,"2 beds,  · 2 bedrooms",Nov 25 – 30,$237,5.0 (5)
